First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Tucker,Durkin,D,51,Atlas,3,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton,Smith,FO,5,Redwoods,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0.3787878787878788,25,41,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett,Schmidt,D,44,Whipsnakes,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Reeves,A,2,Waterdogs,5,3,0,0,0,0,3,9,0,6,0.6666666666666666,1,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey,Sankey,M,11,Archers,6,6,3,3,3,0,3,9,0.3333333333333333,5,0.5555555555555556,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Near,M,2,Redwoods,6,3,1,1,1,0,2,6,0.16666666666666666,4,0.6666666666666666,1,0,1,1,2,6,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gunnar,Waldt,G,14,Redwoods,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romar,Dennis,M,5,Atlas,5,6,5,4,3,1,1,18,0.2222222222222222,8,0.4444444444444444,4,0.25,3,0.75,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Ned,Crotty,M,22,Chrome,4,10,3,3,3,0,7,11,0.2727272727272727,4,0.36363636363636365,2,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Manley,D,41,Chrome,5,1,1,1,1,0,0,5,0.2,1,0.2,3,0,0,0,4,5,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
